Student Review,Experience (years),No. of Research Papers Published,Seminars Taken,Attendance (%),Appraisal (%)
8.281436011853128,6.697943680850673,8.065716299260911,5.154366710294357,87.31077503915036,9.395691744281168
5.966109397846964,5.856544816702471,4.7803358995800505,4.476166071366906,85.19039375712264,6.310587781033514
5.966757927006866,5.810753191974642,5.463714761497462,4.504656327713661,86.23937481590046,5.964749099348716
7.624949976920932,7.263259764676969,6.591633572048295,4.243086529425501,85.90961506437175,8.609650982960444
5.439557834110674,4.3078827528746295,5.864795161653693,5.665601469903197,85.9012638251204,6.3907891816255304
5.673305742980562,5.548603084625049,6.025915317836186,5.305998407740753,85.67958974450136,7.432572100758256
7.0893308012485985,6.8632259064008165,6.358698213213956,5.134375943466972,87.03091336620733,7.942540101943276
5.5887864660317765,6.468462635592697,5.465388182818611,5.471696667557586,86.50894059413616,7.996760330468168
6.889914151649645,5.565363195445285,3.7814369906297687,1.899070850795985,84.3428534771346,6.473047753610541
7.542361881188906,7.877648173115009,6.596196110590747,3.6932577830368842,86.13767460096048,8.06637882981548
7.145707013267099,4.012646046970037,3.335934298590907,2.0655864145729326,83.38830433656744,5.288826890360955
5.469635353046445,3.994609914415989,5.671563553434433,3.69882297446026,84.00508838518441,6.515896091624485
7.082154722911089,5.487662848696876,4.832228803112095,3.05411025558142,84.24411267761346,7.041990669675233
6.37222291915466,6.434199921372482,5.966237614464651,4.153243515777518,85.29145470521306,6.8635515033714025
6.830084299134368,5.91087263072268,6.267771137495936,3.0396130384391946,84.88050303391897,6.3276414951822995
6.723552403725317,5.5628820586311,5.444724418751033,5.122154062852735,87.22218754886715,8.177512789023803
7.610077690942462,6.588320653677182,6.6928351628768965,3.6956680761451164,84.49965302535884,6.356799601308315
7.88394604749277,6.511783976982929,6.10100017937356,4.9315796497662845,87.21219032391953,8.16228626427054
5.666981900643513,6.007450679830529,6.569522031767937,4.174216020923177,85.00001497175894,7.302289653916501
6.343761141855211,4.966009116936973,4.576265908872161,4.257995248372427,85.93616307679991,6.765914991808038
9.06600375307059,5.915064023339067,6.189073530476244,2.8504641000592743,84.29948332707369,7.90059826290403
6.434763320738263,5.471297850183493,5.848306741207046,2.559969219138818,85.02096496675249,6.456782640078889
4.986907781491252,5.592925774868057,5.081293382869274,4.982437359860635,85.06741808424447,5.882120250627374
5.566175665023401,5.639347913269231,5.5187200065050215,4.76177883833507,86.09309511544899,6.794994724981263
6.228505730900534,6.635959258931446,7.2101196963267,3.9196790609362178,85.7926938494818,6.800255764344297
7.673793661781659,6.476889914030976,6.605627266953079,2.561957280599505,85.65089102534549,7.625978211930185
9.10253465567153,6.548221327132634,6.865652457740317,4.3635442203751085,86.85653308288073,9.76183214618541
6.936251123710892,5.418233855640472,4.449322420683993,3.5758115893341738,85.76982069560098,6.8897224775008254
6.390720678788342,5.740491655948911,5.574545769112465,4.582336706834124,85.7875415044611,6.689387783604597
5.5733909842891585,6.498415655613516,6.679195369325822,4.390912798330412,85.27105052417996,6.6630388580876225
